ZONE I=361 J=100 K=1
1.311971e+00 -3.009613e-01 -1.910945e-01 -4.694736e+01
1.312869e+00 -3.124255e-01 -1.910945e-01 -8.684573e+01
1.313814e+00 -3.240808e-01 -1.910945e-01 -1.375283e+02
1.314794e+00 -3.359461e-01 -1.910945e-01 -1.881964e+02
1.315835e+00 -3.480171e-01 -1.910945e-01 -2.411298e+02
1.316932e+00 -3.603086e-01 -1.910945e-01 -2.924633e+02
1.318072e+00 -3.728452e-01 -1.910945e-01 -3.360659e+02
1.319271e+00 -3.856298e-01 -1.910945e-01 -3.684001e+02
1.320544e+00 -3.986652e-01 -1.910945e-01 -3.854218e+02
1.321879e+00 -4.119777e-01 -1.910945e-01 -3.825607e+02
1.323269e+00 -4.255901e-01 -1.910945e-01 -3.584840e+02
1.324745e+00 -4.394956e-01 -1.910945e-01 -3.153249e+02
1.326296e+00 -4.537230e-01 -1.910945e-01 -2.556938e+02
1.327927e+00 -4.682886e-01 -1.910945e-01 -1.874336e+02
1.329649e+00 -4.832059e-01 -1.910945e-01 -1.145309e+02
1.331470e+00 -4.984887e-01 -1.910945e-01 -5.275111e+01
1.333389e+00 -5.141634e-01 -1.910945e-01 -1.939145e+01
1.335411e+00 -5.302551e-01 -1.910945e-01 -9.446347e+00
1.337563e+00 -5.467604e-01 -1.910945e-01 -1.031096e+01
1.339835e+00 -5.637221e-01 -1.910945e-01 -1.867500e+01
1.342237e+00 -5.811641e-01 -1.910945e-01 -4.019025e+01
1.344798e+00 -5.990851e-01 -1.910945e-01 -7.138971e+01
1.347511e+00 -6.175316e-01 -1.910945e-01 -8.615139e+01
1.350400e+00 -6.365138e-01 -1.910945e-01 -7.870452e+01
1.353479e+00 -6.560563e-01 -1.910945e-01 -5.429461e+01
1.356764e+00 -6.761816e-01 -1.910945e-01 -2.275762e+01
1.360273e+00 -6.969137e-01 -1.910945e-01 -3.992906e+00
1.364031e+00 -7.182671e-01 -1.910945e-01 -1.433311e+00
1.368053e+00 -7.402745e-01 -1.910945e-01 -5.476384e+00
1.372374e+00 -7.629345e-01 -1.910945e-01 -9.480769e+00
1.376998e+00 -7.863058e-01 -1.910945e-01 -9.551717e+00
1.381983e+00 -8.103509e-01 -1.910945e-01 -4.062909e+00
1.387326e+00 -8.351464e-01 -1.910945e-01 -3.851702e-01
1.393137e+00 -8.605477e-01 -1.910945e-01 -4.519694e-04
1.397519e+00 -8.906902e-01 -1.910945e-01 -1.127305e-06
1.418482e+00 -8.857742e-01 -1.910945e-01 -1.360304e-01
1.439202e+00 -8.802702e-01 -1.910945e-01 -1.748488e+00
1.459501e+00 -8.745798e-01 -1.910945e-01 -6.939866e+00
1.479362e+00 -8.687786e-01 -1.910945e-01 -1.497223e+01
1.498795e+00 -8.628716e-01 -1.910945e-01 -2.051721e+01
1.517821e+00 -8.568405e-01 -1.910945e-01 -1.752781e+01
1.536448e+00 -8.506900e-01 -1.910945e-01 -5.442522e+00
1.554674e+00 -8.444696e-01 -1.910945e-01 -1.002781e-01
1.572518e+00 -8.381536e-01 -1.910945e-01 -1.013465e+01
1.589998e+00 -8.317120e-01 -1.910945e-01 -5.117823e+01
1.607111e+00 -8.251931e-01 -1.910945e-01 -1.065957e+02
1.623870e+00 -8.185824e-01 -1.910945e-01 -1.337994e+02
1.640281e+00 -8.118955e-01 -1.910945e-01 -1.036443e+02
1.656352e+00 -8.051373e-01 -1.910945e-01 -3.186467e+01
1.672089e+00 -7.983213e-01 -1.910945e-01 -1.298261e+01
1.687502e+00 -7.914420e-01 -1.910945e-01 -3.521567e+01
1.702602e+00 -7.844836e-01 -1.910945e-01 -1.343250e+02
1.717396e+00 -7.774494e-01 -1.910945e-01 -2.753251e+02
1.731888e+00 -7.703414e-01 -1.910945e-01 -2.983221e+02
1.746084e+00 -7.631883e-01 -1.910945e-01 -1.904543e+02
1.759991e+00 -7.559889e-01 -1.910945e-01 -2.851293e+01
1.773614e+00 -7.487459e-01 -1.910945e-01 -1.295226e+00
1.786963e+00 -7.414434e-01 -1.910945e-01 -9.343566e+01
1.800041e+00 -7.340798e-01 -1.910945e-01 -3.656292e+02
1.812854e+00 -7.266626e-01 -1.910945e-01 -4.905629e+02
1.825408e+00 -7.191885e-01 -1.910945e-01 -3.830974e+02
1.837707e+00 -7.116945e-01 -1.910945e-01 -1.316313e+02
1.849758e+00 -7.041571e-01 -1.910945e-01 -1.002325e+01
1.861564e+00 -6.965868e-01 -1.910945e-01 -5.687042e+01
1.873131e+00 -6.889645e-01 -1.910945e-01 -3.813490e+02
1.884462e+00 -6.813036e-01 -1.910945e-01 -6.573465e+02
1.895562e+00 -6.736013e-01 -1.910945e-01 -4.767069e+02
1.906437e+00 -6.658733e-01 -1.910945e-01 -1.842761e+02
1.917090e+00 -6.581208e-01 -1.910945e-01 -1.137956e+02
1.927527e+00 -6.503419e-01 -1.910945e-01 -2.203213e+02
1.937749e+00 -6.425271e-01 -1.910945e-01 -4.731028e+02
1.947760e+00 -6.346815e-01 -1.910945e-01 -6.828019e+02
1.957564e+00 -6.268054e-01 -1.910945e-01 -5.694753e+02
1.967166e+00 -6.189096e-01 -1.910945e-01 -3.392484e+02
1.976570e+00 -6.109944e-01 -1.910945e-01 -2.113182e+02
1.985779e+00 -6.030604e-01 -1.910945e-01 -2.609814e+02
