ZONE I=129 J=129
8.798437e-01 -5.000000e-01 -7.311049e-02
8.798437e-01 -4.750000e-01 -7.437913e-02
8.798437e-01 -4.500000e-01 -7.647450e-02
8.798437e-01 -4.250000e-01 -7.866764e-02
8.798437e-01 -4.000000e-01 -8.109824e-02
8.798437e-01 -3.750000e-01 -8.471503e-02
8.798437e-01 -3.500000e-01 -8.910660e-02
8.798437e-01 -3.250000e-01 -9.279913e-02
8.798437e-01 -3.000000e-01 -9.578615e-02
8.798437e-01 -2.750000e-01 -9.825700e-02
8.798437e-01 -2.500000e-01 -1.003083e-01
8.798437e-01 -2.250000e-01 -1.021973e-01
8.798437e-01 -2.000000e-01 -1.038035e-01
8.798437e-01 -1.750000e-01 -1.051297e-01
8.798437e-01 -1.500000e-01 -1.063733e-01
8.798437e-01 -1.250000e-01 -1.074251e-01
8.798437e-01 -1.000000e-01 -1.082559e-01
8.798437e-01 -7.500000e-02 -1.090388e-01
8.798437e-01 -5.000000e-02 -1.097082e-01
8.798437e-01 -2.500000e-02 -1.102397e-01
8.798437e-01 0.000000e+00 -1.107645e-01
8.798437e-01 2.500000e-02 -1.106864e-01
8.798437e-01 5.000000e-02 -1.104283e-01
8.798437e-01 7.500000e-02 -1.099784e-01
8.798437e-01 1.000000e-01 -1.094279e-01
8.798437e-01 1.250000e-01 -1.086337e-01
8.798437e-01 1.500000e-01 -1.076028e-01
8.798437e-01 1.750000e-01 -1.064516e-01
8.798437e-01 2.000000e-01 -1.050192e-01
8.798437e-01 2.250000e-01 -1.032869e-01
8.798437e-01 2.500000e-01 -1.013638e-01
8.798437e-01 2.750000e-01 -9.905131e-02
8.798437e-01 3.000000e-01 -9.626100e-02
8.798437e-01 3.250000e-01 -9.299284e-02
8.798437e-01 3.500000e-01 -8.854644e-02
8.798437e-01 3.750000e-01 -8.391382e-02
8.798437e-01 4.000000e-01 -8.076475e-02
8.798437e-01 4.250000e-01 -7.807668e-02
8.798437e-01 4.500000e-01 -7.556115e-02
8.798437e-01 4.750000e-01 -7.385084e-02
8.798437e-01 5.000000e-01 -7.239104e-02
8.798437e-01 5.250000e-01 -7.094150e-02
8.798437e-01 5.500000e-01 -7.011834e-02
8.798437e-01 5.750000e-01 -6.958835e-02
8.798437e-01 6.000000e-01 -6.907095e-02
8.798437e-01 6.250000e-01 -6.914650e-02
8.798437e-01 6.500000e-01 -6.973715e-02
8.798437e-01 6.750000e-01 -7.073419e-02
8.798437e-01 7.000000e-01 -6.996379e-02
8.798437e-01 7.250000e-01 -6.999993e-02
8.798437e-01 7.500000e-01 -7.033081e-02
8.798437e-01 7.750000e-01 -7.106857e-02
8.798437e-01 8.000000e-01 -7.270233e-02
8.798437e-01 8.250000e-01 -7.448744e-02
8.798437e-01 8.500000e-01 -7.659598e-02
8.798437e-01 8.750000e-01 -7.976578e-02
8.798437e-01 9.000000e-01 -8.323737e-02
8.798437e-01 9.250000e-01 -8.718391e-02
8.798437e-01 9.500000e-01 -9.259967e-02
8.798437e-01 9.750000e-01 -9.886128e-02
8.798437e-01 1.000000e+00 -1.064654e-01
8.798437e-01 1.025000e+00 -1.166075e-01
8.798437e-01 1.050000e+00 -1.256549e-01
8.798437e-01 1.075000e+00 -1.330366e-01
8.798437e-01 1.100000e+00 -1.388762e-01
8.798437e-01 1.125000e+00 -1.438985e-01
8.798437e-01 1.150000e+00 -1.484984e-01
8.798437e-01 1.175000e+00 -1.522904e-01
8.798437e-01 1.200000e+00 -1.555950e-01
8.798437e-01 1.225000e+00 -1.587259e-01
8.798437e-01 1.250000e+00 -1.612665e-01
8.798437e-01 1.275000e+00 -1.633060e-01
8.798437e-01 1.300000e+00 -1.651241e-01
8.798437e-01 1.325000e+00 -1.662150e-01
8.798437e-01 1.350000e+00 -1.661975e-01
8.798437e-01 1.375000e+00 -1.662461e-01
8.798437e-01 1.400000e+00 -1.671066e-01
8.798437e-01 1.425000e+00 -1.681711e-01
8.798437e-01 1.450000e+00 -1.689749e-01
8.798437e-01 1.475000e+00 -1.691777e-01
8.798437e-01 1.500000e+00 -1.685836e-01
8.798437e-01 1.525000e+00 -1.671661e-01
8.798437e-01 1.550000e+00 -1.650548e-01
8.798437e-01 1.575000e+00 -1.624447e-01
8.798437e-01 1.600000e+00 -1.595222e-01
8.931250e-01 -1.600000e+00 -1.574582e-01
8.931250e-01 -1.575000e+00 -1.602576e-01
8.931250e-01 -1.550000e+00 -1.628227e-01
8.931250e-01 -1.525000e+00 -1.649847e-01
8.931250e-01 -1.500000e+00 -1.665404e-01
8.931250e-01 -1.475000e+00 -1.673379e-01
8.931250e-01 -1.450000e+00 -1.674099e-01
8.931250e-01 -1.425000e+00 -1.669651e-01
8.931250e-01 -1.400000e+00 -1.663451e-01
8.931250e-01 -1.375000e+00 -1.660028e-01
8.931250e-01 -1.350000e+00 -1.663012e-01
8.931250e-01 -1.325000e+00 -1.662404e-01
8.931250e-01 -1.300000e+00 -1.654432e-01
8.931250e-01 -1.275000e+00 -1.641061e-01
8.931250e-01 -1.250000e+00 -1.622588e-01
8.931250e-01 -1.225000e+00 -1.599172e-01
8.931250e-01 -1.200000e+00 -1.571508e-01
8.931250e-01 -1.175000e+00 -1.538921e-01
8.931250e-01 -1.150000e+00 -1.500576e-01
8.931250e-01 -1.125000e+00 -1.456359e-01
8.931250e-01 -1.100000e+00 -1.404703e-01
8.931250e-01 -1.075000e+00 -1.343302e-01
8.931250e-01 -1.050000e+00 -1.270154e-01
8.931250e-01 -1.025000e+00 -1.183338e-01
8.931250e-01 -1.000000e+00 -1.096982e-01
8.931250e-01 -9.750000e-01 -1.024673e-01
8.931250e-01 -9.500000e-01 -9.650386e-02
8.931250e-01 -9.250000e-01 -9.158122e-02
8.931250e-01 -9.000000e-01 -8.748297e-02
8.931250e-01 -8.750000e-01 -8.405724e-02
